
Target: FloripaSat_2

Observer: INPE_RN
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
20 Feb 2022 01:36:48.975    20 Feb 2022 01:42:56.921      367.94597843    
20 Feb 2022 13:36:16.784    20 Feb 2022 13:42:28.147      371.36263191    
21 Feb 2022 01:29:59.064    21 Feb 2022 01:36:13.709      374.64442109    
21 Feb 2022 13:29:23.068    21 Feb 2022 13:35:48.479      385.41114408    
22 Feb 2022 01:23:12.295    22 Feb 2022 01:29:26.024      373.72885386    
22 Feb 2022 13:22:32.768    22 Feb 2022 13:29:04.387      391.61874721    
23 Feb 2022 01:16:28.730    23 Feb 2022 01:22:33.827      365.09615734    
23 Feb 2022 13:15:45.708    23 Feb 2022 13:22:16.069      390.36079914    
24 Feb 2022 01:09:48.704    24 Feb 2022 01:15:36.801      348.09712807    
24 Feb 2022 13:09:01.946    24 Feb 2022 13:15:23.488      381.54227991    
25 Feb 2022 01:03:12.944    25 Feb 2022 01:08:34.238      321.29403058    
25 Feb 2022 13:02:21.788    25 Feb 2022 13:08:26.358      364.56959172    
26 Feb 2022 00:56:42.935    26 Feb 2022 01:01:24.674      281.73831920    
26 Feb 2022 12:55:45.897    26 Feb 2022 13:01:24.040      338.14327440    
27 Feb 2022 00:50:22.164    27 Feb 2022 00:54:04.641      222.47730300    
27 Feb 2022 12:49:15.583    27 Feb 2022 12:54:15.245      299.66140488    
28 Feb 2022 00:44:24.408    28 Feb 2022 00:46:20.384      115.97594476    
28 Feb 2022 12:42:53.773    28 Feb 2022 12:46:57.072      243.29960130    
01 Mar 2022 02:11:13.289    01 Mar 2022 02:14:22.474      189.18518324    
01 Mar 2022 12:36:50.121    01 Mar 2022 12:39:19.893      149.77278512    
01 Mar 2022 14:11:15.907    01 Mar 2022 14:13:25.217      129.31022008    
02 Mar 2022 02:03:46.652    02 Mar 2022 02:08:06.401      259.74875456    


Number of events : 125


Observer: UFSC_PP5UF
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2022 14:27:24.996    01 Jan 2022 14:32:19.160      294.16424161    
